a,b,c
17269957764002171974,7807956261330746247,18383750338173386122
3922845122911134887,12171331920718267982,15936902360513382089
10700067705036979413,4962801712885195366,11929063773030368473
13396921137703038356,10765880015896159491,11535319818291907681
9270780783319945654,10198166357041181481,16818041748317714781
1613624978038669938,7434835390292450735,11591939000341555443
2315806653176645303,10704094457558170239,18358342361506287733
18298831139745297108,12515714339802655070,10017135366361091803
14980866163895528535,13867158693240662569,16362745218703998476
9694339483162746521,10478425975698417936,7595233007313752974
